epoch,lr,train_loss,train_f1,val_loss,val_f1,best_val_f1,is_best
1,0.000208,0.6901,0.6041,0.6833,0.3067,0.3067,True
2,0.000406,0.6131,0.6808,0.5289,0.4972,0.4972,True
3,0.000604,0.471,0.8285,0.455,0.5651,0.5651,True
4,0.000802,0.4133,0.8733,0.3867,0.6275,0.6275,True
5,0.001,0.3857,0.8939,0.425,0.646,0.646,True
6,0.00099919,0.3665,0.9057,0.3743,0.6974,0.6974,True
7,0.00099674,0.3277,0.9302,0.3899,0.7072,0.7072,True
8,0.00099268,0.3021,0.9446,0.3471,0.7716,0.7716,True
9,0.00098702,0.2863,0.9544,0.3282,0.7857,0.7857,True
10,0.00097977,0.2736,0.9621,0.3171,0.8155,0.8155,True
11,0.00097095,0.2702,0.963,0.301,0.8305,0.8305,True
12,0.0009606,0.2627,0.9671,0.3072,0.8183,0.8305,False
13,0.00094875,0.2542,0.9716,0.2998,0.8364,0.8364,True
14,0.00093544,0.2524,0.9732,0.2849,0.8643,0.8643,True
15,0.00092071,0.2488,0.975,0.2799,0.8702,0.8702,True
16,0.0009046,0.2472,0.9756,0.2908,0.8599,0.8702,False
17,0.00088718,0.2432,0.9775,0.333,0.8042,0.8702,False
18,0.0008685,0.2411,0.9789,0.2775,0.8764,0.8764,True
19,0.00084862,0.2394,0.9799,0.2662,0.8944,0.8944,True
20,0.0008276,0.2353,0.982,0.276,0.8829,0.8944,False
21,0.00080552,0.2352,0.983,0.2704,0.8912,0.8944,False
22,0.00078244,0.232,0.9838,0.2583,0.8997,0.8997,True
23,0.00075844,0.2313,0.985,0.2583,0.9086,0.9086,True
24,0.0007336,0.2302,0.9856,0.3017,0.85,0.9086,False
25,0.000708,0.2289,0.9853,0.2975,0.8612,0.9086,False
26,0.00068172,0.226,0.9877,0.2509,0.9164,0.9164,True
27,0.00065485,0.2264,0.9871,0.2582,0.9109,0.9164,False
28,0.00062748,0.2235,0.9887,0.2682,0.8919,0.9164,False
29,0.0005997,0.2224,0.9896,0.2606,0.9052,0.9164,False
30,0.00057159,0.2215,0.9896,0.2643,0.9026,0.9164,False
31,0.00054324,0.2212,0.9901,0.2572,0.9146,0.9164,False
32,0.00051476,0.2188,0.9912,0.2489,0.923,0.923,True
33,0.00048624,0.2165,0.9927,0.2617,0.9063,0.923,False
34,0.00045776,0.2169,0.9924,0.2646,0.9032,0.923,False
35,0.00042941,0.2143,0.9937,0.2657,0.9023,0.923,False
36,0.0004013,0.2148,0.9935,0.2561,0.918,0.923,False
37,0.00037352,0.212,0.9947,0.2744,0.8957,0.923,False
38,0.00034615,0.211,0.9959,0.2529,0.9254,0.9254,True
39,0.00031928,0.2106,0.9959,0.2485,0.9315,0.9315,True
40,0.000293,0.2094,0.9966,0.2511,0.9277,0.9315,False
41,0.0002674,0.2101,0.996,0.2599,0.9158,0.9315,False
42,0.00024256,0.2074,0.9974,0.2582,0.9147,0.9315,False
43,0.00021856,0.2062,0.998,0.248,0.9325,0.9325,True
44,0.00019548,0.2073,0.9974,0.2535,0.9249,0.9325,False
45,0.0001734,0.2064,0.9979,0.256,0.9221,0.9325,False
46,0.00015238,0.2043,0.999,0.2437,0.9395,0.9395,True
47,0.0001325,0.2041,0.999,0.245,0.9376,0.9395,False
48,0.00011382,0.2038,0.9992,0.239,0.9486,0.9486,True
49,9.64e-05,0.2032,0.9995,0.2452,0.9411,0.9486,False
50,8.029e-05,0.2036,0.9993,0.2396,0.948,0.9486,False
51,6.556e-05,0.2026,0.9998,0.2351,0.9514,0.9514,True
52,5.225e-05,0.2028,0.9997,0.2401,0.9466,0.9514,False
53,4.04e-05,0.2028,0.9998,0.239,0.9491,0.9514,False
54,3.005e-05,0.2024,0.9999,0.238,0.9493,0.9514,False
55,2.123e-05,0.2026,0.9999,0.2374,0.9507,0.9514,False
56,1.398e-05,0.2024,0.9999,0.2345,0.955,0.955,True
57,8.32e-06,0.2024,0.9999,0.2338,0.9554,0.9554,True
58,4.26e-06,0.2024,0.9999,0.2338,0.9562,0.9562,True
59,1.81e-06,0.2026,0.9998,0.2343,0.9553,0.9562,False
60,1e-06,0.2024,0.9999,0.2329,0.9568,0.9568,True
61,1.81e-06,0.2023,0.9999,0.2331,0.9551,0.9568,False
62,4.26e-06,0.2024,0.9999,0.2343,0.9549,0.9568,False
63,8.32e-06,0.2023,1.0,0.2337,0.9563,0.9568,False
64,1.398e-05,0.2024,0.9999,0.2319,0.9577,0.9577,True
65,2.123e-05,0.2022,1.0,0.2338,0.9559,0.9577,False
66,3.005e-05,0.2024,0.9999,0.2342,0.9538,0.9577,False
67,4.04e-05,0.2025,0.9999,0.2347,0.9545,0.9577,False
68,5.225e-05,0.2023,1.0,0.2345,0.9548,0.9577,False
69,6.556e-05,0.2024,0.9999,0.2383,0.9494,0.9577,False
70,8.029e-05,0.2027,0.9998,0.241,0.9476,0.9577,False
